number,date,title,article,authors
1,mars/avril 2005,Faire autorité ?,Michel Winock: la France et les Juifs. De 1789 à nos jours,Jean-Claude Eslin
1,mars/avril 2005,Faire autorité ?,Louis Gruel: la Rébellion de 68. Une relecture sociologique,Jean-Louis Schlegel
1,mars/avril 2005,Faire autorité ?,Paul Garde: le Discours balkanique. Des mots et des hommes,Joël Hubrecht
1,mars/avril 2005,Faire autorité ?,"Dounia Bouzar: Monsieur Islam n'existe pas. ""Pour une désislamisation des débats""",Abdennour Bidar
1,mars/avril 2005,Faire autorité ?,Isabelle Grangaud: la Ville imprenable. Une histoire sociale de Constantine au XVIIIe siècle,Jean-Pierre Peyroulou
2,janvier 1937,,LES INGÉNIEURS,Garcet André
2,janvier 1937,,MATIÈRE,Remizov Alexei
2,janvier 1937,,UN PROGRAMME DE RECONSTRUCTION. DES AMIS D'ESPRIT EN ESPAGNE,Semprun  Y  Gurrea José M. (de)
2,janvier 1937,,RÉFLEXIONS D'UN PRÊTRE CATHOLIQUE SUR LA GUERRE D'ESPAGNE,R. G.
2,janvier 1937,,LES PRÊTRES BASQUES PERSÉCUTÉS PAR LES MILITAIRES,
2,janvier 1937,,LOURIÉ 1936,Davenson Henri
2,janvier 1937,,LA PENSÉE ENGAGÉE. Maurice BLONDEL : L'Être et les Êtres,Jean Lacroix
2,janvier 1937,,LA PENSÉE ENGAGÉE : LA SENSIBILITÉ RÉVOLUTIONNAIRE (1789-1794),Emmanuel Mounier
2,janvier 1937,,CULTURE ET CIVILISATION DÉFENSE DE LA CULTURE,R D.
2,janvier 1937,,CULTURE ET CIVILISATION : GUERRE ET BIOLOGIE. Gérald HEARD : The Source of Civilisation. Wickham STEED : Vital Peace,Mallet Isabelle
2,janvier 1937,,CULTURE ET CIVILISATION. Léo FROBENIUS : Histoire de la civilisation africaine,Madaule Jacques
2,janvier 1937,,LA VIE PRIVÉE : Après l'Abdication,Paulding C.-G.
2,janvier 1937,,LA VIE PRIVÉE. PAOLO ORSI : Volume Commémoratif,Paulding C.-G.
2,janvier 1937,,LA VIE PRIVÉE : LES HOMMES ABANDONNÉS,Emmanuel Mounier
2,janvier 1937,,LES LETTRES : LA FIEVRE ROMANESQUE,Rougemont Denis (de)
2,janvier 1937,,"LES LETTRES. R. MARTIN DU GARD : Les Thibault, 7e partie. L'été 1914",Emmanuel Mounier
2,janvier 1937,,LES LETTRES. ARAGON : Les Beaux Quartiers,Leenhardt Roger
2,janvier 1937,,LES LETTRES. Jean BLANZAT : Septembre,R. D.
2,janvier 1937,,LES LETTRES. Robert Briffaut : EUROPE,R. D.
2,janvier 1937,,LES LETTRES. Vicky Baum : LA CARRIÈRE DE DORIS HART,Paulding C.-G.
2,janvier 1937,,LES LETTRES. Eve de Bonneville : LE REMPLAÇANT,Breuil Roger
2,janvier 1937,,LES LETTRES. Georges David ! LA REMISE DES CAILLES,Breuil Roger
2,janvier 1937,,LES LETTRES : Livres d'enfants,Roy Jeanine
2,janvier 1937,,LES ARTS. La Peinture : La Querelle du réalisme,Humeau Edmond
2,janvier 1937,,LES ARTS. Le Théâtre : A propos de la mort de Pirandello,
2,janvier 1937,,LES ARTS. AU THÉÂTRE DE l'OEUVRE : Un homme comme les autres d'Armand SALACROU,
2,janvier 1937,,LES ARTS : Les Livres,Pierre-Aimé Touchard
2,janvier 1937,,LES ARTS. Le Cinéma : LES VERTS PATURAGES,Valdo Bernard
2,janvier 1937,,LA CITÉ. Journal des Témoins : LE FILET D'ARGENT,Duveau Georges
2,janvier 1937,,LA CITÉ : L'ASPECT ÉCONOMIQUE DE 1937,Bourdet Claude
2,janvier 1937,,LA CITÉ : CE QU'IL FAUT LIRE SANS RIRE,Carette Louis
2,janvier 1937,,LA CITÉ : Les Livres,Emmanuel Mounier
2,janvier 1937,,LA CITÉ. Chronique internationale. I. LES AMITIÉS PERDUES,Dami Aldo
2,janvier 1937,,LA CITÉ : LE CONGRÈS PANAMERICAIN,Paulding C.-G.
2,janvier 1937,,LA CITÉ : REVUE DES REVUES,
2,janvier 1937,,LA CITÉ : REVUES ÉTRANGÈRES,
2,janvier 1937,,LA CITÉ : NOUVELLES AUTOUR D'ESPRIT,
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs,Chatreix Henri
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs : LES RESSOURCES HUMAINES,
3,février 1937,,"CONDITION DES INSTITUTEURS par quelques instituteurs : CLÉRICALISME, ANTICLÉRICALISME, NEUTRALITÉ",Simond J.
3,février 1937,,"CONDITION DES INSTITUTEURS par quelques instituteurs : CLÉRICALISME, ANTICLÉRICALISME, NEUTRALITÉ",Gachon Lucien
3,février 1937,,"CONDITION DES INSTITUTEURS par quelques instituteurs : CLÉRICALISME, ANTICLÉRICALISME, NEUTRALITÉ",Beauquis
3,février 1937,,"CONDITION DES INSTITUTEURS par quelques instituteurs : CLÉRICALISME, ANTICLÉRICALISME, NEUTRALITÉ",Garraud J.
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs : LE SYNDICALISME DES INSTITUTEURS,Mélet P.
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs : LE SYNDICALISME DES INSTITUTEURS,Mélet P.
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs : LE SYNDICALISME DES INSTITUTEURS,Garraud J.
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs : LES ÉCOLES NORMALES,
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs : LES ÉCOLES NORMALES,Dhéras Paul
3,février 1937,,CONDITION DES INSTITUTEURS par quelques instituteurs : ET MAINTENANT ?,Esprit
3,février 1937,,LES INGÉNIEURS (SUITE),Garcet André
3,février 1937,,POÈMES,Mathieu Noël
3,février 1937,,"LE FASCISME, FILS DU LIBÉRALISME",Ellul Jacques
3,février 1937,,NOTRE ACTION : CLUBS DE PRESSE,
3,février 1937,,France N. R. F.,
3,février 1937,,N. R. F. : (Décembre),
3,février 1937,,N. R. F. : (Janv.),
3,février 1937,,Combat (janv.),
3,février 1937,,Europe (déc.),
3,février 1937,,Commune (déc.),
3,février 1937,,Études (20 déc.),
3,février 1937,,La Flèche,
3,février 1937,,Idée et Action (Numéro de Novembre),
3,février 1937,,Inquisitions (n° 1),
3,février 1937,,L'homme réel (n° 36),
3,février 1937,,Le Pain blanc (n° 1),
3,février 1937,,Vie Intellectuelle (25 déc.),
3,février 1937,,Le Crapouillot (janvier 37). Numéro spécial,
3,février 1937,,Le mois (janvier 1937),
3,février 1937,,La Revue Hebdomadaire,
3,février 1937,,Belgique : La Libre Belgique,
3,février 1937,,"Suisse : Nova et vetera (Fribourg), (oct.-déc. 1936), Eugène Dévaud",
3,février 1937,,Angleterre : G. K.'s Weekly,
3,février 1937,,The Criterion,
3,février 1937,,Blackfriars,
3,février 1937,,Foreign Policy Reports. (Vol. 12 Nov. 18. New York),
3,février 1937,,"COMMONWEAL, New York, 1 janvier",
3,février 1937,,"The American Review, décembre",
3,février 1937,,"Argentine : NOSOTROS (Buenos Ayres, N° 8, novembre 1936)",
3,février 1937,,PRESSE-PURÉE,Julius
3,février 1937,,LA PENSÉE ENGAGÉE : Unamuno,Leenhardt Roger
3,février 1937,,"LA PENSÉE ENGAGÉE, GAGÉE ET RENGAGÉE. Paul VAILLANT- COUTURIER : Au service de l'Esprit",Rougemont Denis (de)
3,février 1937,,"LA PENSÉE ENGAGÉE, GAGÉE ET RENGAGÉE. Raymond ARON : La sociologie allemande contemporaine",Moré Marcel
3,février 1937,,LES LETTRES. Le Roman. Pierre JEANNERET : Les Esclaves,Miatlev Adrien
3,février 1937,,LES LETTRES. Max BROD : Le royaume enchanté de l'amour,Breuil Roger
3,février 1937,,LES LETTRES. Rosamond LEHMANN : Intempéries,Paulding C.-G.
3,février 1937,,"LES ARTS. La Peinture : ESPAGNE 1934-1936 (Exposition André Masson, à la Galerie Simon)",Moré Marcel
3,février 1937,,LES ARTS. La Musique : DÉBUT DE SAISON,
3,février 1937,,LES ARTS. A l'Orchestre de la Société Philarmonique : Concerto de Violon d'ALBAN BERG,
3,février 1937,,LES ARTS. A l'Orchestre Symphonique de Paris : Concerto de Violon de Germaine TAILLEFERRE,
3,février 1937,,LES ARTS. A l'Orchestre Symphonique de Paris : Christophe Colomb de Darius MILHAUD,Jaubert Maurice
3,février 1937,,LES ARTS. Le Théâtre : A l'atelier Jules César de SHAKESPEARE,
3,février 1937,,LES ARTS. Aux Mathurins : Six personnages en quête d'auteur de PIRANDELLO,
3,février 1937,,"LES ARTS : A l'Athénée, Château de cartes de Stève PASSEUR",Pierre-Aimé Touchard
3,février 1937,,LES ARTS. Le Cinéma : MAUVAIS SUJETS,Valdo Bernard
3,février 1937,,"LES ARTS : LES BAS-FONDS, PRIX «LOUIS-DELLUC»",Leenhardt Roger
3,février 1937,,LA CITÉ. Journal des Témoins : SUR LA MORT DE LOUIS DELAPRÉE,
3,février 1937,,LA CITÉ : NOTRE GROUPE D'ÉTUDES POLITIQUES,
3,février 1937,,LA CITÉ : LE PROCÈS DE MOSCOU,
3,février 1937,,LA CITÉ. Les livres politiques : PROPHÈTES ET DICTATEURS,Madaule Jacques
3,février 1937,,LA CITÉ. Les livres d'économie sociale Edouard DOLLÉANS : Histoire du mouvement ouvrier,Duveau Georges
3,février 1937,,LA CITÉ. E. J. PHELAN : Albert Thomas et la création du Bureau international du Travail,Kohler Arnold
3,février 1937,,LA CITÉ. Chronique internationale : LE SPECTRE DE CHARLES-QUINT,D. A.
3,février 1937,,LA CITÉ. ESPAGNE: UN NOUVEAU DOSSIER,
4,mars 1937,,POUR L'UNITÉ OUVRIÈRE PAR LE PLURALISME SYNDICAL,Jean Lacroix
4,mars 1937,,TÉMOIGNAGES I. DU COTÉ DE LA C. G. T.,Belin René
4,mars 1937,,II. - DU COTÉ DU SYNDICALISME CHRÉTIEN,Vignaux Paul
4,mars 1937,,LES ATTEINTES A LA LIBERTÉ SYNDICALE,Ramond Pierre
4,mars 1937,,LIBERTÉ SYNDICALE ET UNITÉ OUVRIÈRE,Leblond Claude
4,mars 1937,,LA FEMME DE GILLES,Bourdoux Madeleine
4,mars 1937,,FILE D'EMBAUCHE,Bontoux-Maurel Charles
4,mars 1937,,RANCOEUR,Malva C.
4,mars 1937,,LES ÉTAPES DU VENT,Parfondry Marcel
4,mars 1937,,LES PAVEURS,Boune Georges
4,mars 1937,,PEINTURE,Derroeder
4,mars 1937,,Mesures (janvier),
4,mars 1937,,N. R. F. (février),
4,mars 1937,,Cahiers du Sud (Marseille),
4,mars 1937,,Vendredi (12 février),
4,mars 1937,,Chronique sociale de France,
4,mars 1937,,Politique (Janvier 1937),
4,mars 1937,,L'insurgé,
4,mars 1937,,Les Nouvelles Littéraires,
4,mars 1937,,Les Cahiers franco-allemands (janvier),
4,mars 1937,,Sept (12 février),
4,mars 1937,,Vie Intellectuelle (10 février),
4,mars 1937,,Dossiers de l'Action populaire (25 janv.),
4,mars 1937,,"Vendredi, La Jeune République, L'Avant-Garde de Bruxelles",
4,mars 1937,,La Flèche (6 février),
4,mars 1937,,Ordre Nouveau (Janvier),
4,mars 1937,,E.N.O. (Bulletin de l'École normale ouvrière de la C.F.T.C.). (Janvier),
4,mars 1937,,Italie : Les Lettres de Rome sur l'athéisme moderne,
4,mars 1937,,Angleterre : G. K.'s Weekly,
4,mars 1937,,Suisse ZOFINGUE (n° 4),
4,mars 1937,,LA PENSÉE ENGAGÉE : La signification tragique de L'altérité dans le Théâtre de Gabriel Marcel,Maxime Chastaing
4,mars 1937,,LA PENSÉE ENGAGÉE. Jeanne HERSCH : L'Illusion philosophique,Maxime Chastaing
4,mars 1937,,CULTURE ET CIVILISATION. Gabriel AUDISIO : Sel de la mer,Fouchet Max-Pol
4,mars 1937,,"CULTURE ET CIVILISATION. Agnès HUMBERT: Louis David, peintre et conventionnel essai de critique marxiste",Labrousse Roger
4,mars 1937,,LES LETTRES. Albert THIBAUDET: Histoire de la littérature française de 1789 à nos jours,Rougemont Denis (de)
4,mars 1937,,LES LETTRES. Jacques MADAULE : Le drame de Paul Claudel,Pierre-Aimé Touchard
4,mars 1937,,LES LETTRES : Anatole de MONZIE Les Veuves Abusives,D. G.
4,mars 1937,,LES ARTS. Le Théâtre. A la Porte Saint-Martin : Le Trompeur de Séville d'André OBEY,
4,mars 1937,,LES ARTS. Au THÉÂTRE DES MATHURINS : Le voyageur sans bagages de Jean ANONILH,Pierre-Aimé Touchard
4,mars 1937,,LES ARTS. Au THÉÂTRE DU VlEUX COLOMBIER : L'Appartement de Zoïka de BOULGAKOV,
4,mars 1937,,"LES ARTS. La Musique.  A LA SÉRÉNADE : Darius Milhaud, Fr. Clément Jacob et Dallapiccola",Laloy Jean
4,mars 1937,,LA CITÉ : Journal des Témoins,Leenhardt Roger
4,mars 1937,,LA CITÉ. Les livres politiques. Rosa LUXEMBOURG: La révolution russe,Moré Marcel
4,mars 1937,,LA CITÉ. Victor SERGE : Destin d'une révolution (U.R.S.S. 1917-1937),Emmanuel Mounier
4,mars 1937,,LA CITÉ. Marcelle CAPY : Une voix de femme dans la mêlée,
4,mars 1937,,LA CITÉ. Les livres d'économie. Robert MARJOLIN : L'Évolution du syndicalisme aux Etats-Unis de Washington à Roosevelt,Moré Marcel
4,mars 1937,,LA CITÉ. André PHILIP: Trade-Unionisme et Syndicalisme,L. C.
4,mars 1937,,LA CITÉ : Chronique internationale,Dami Aldo
5,avril 1937,,Contributions volontaires 1937,
5,avril 1937,,ANARCHIE ET PERSONNALISME,Esprit
5,avril 1937,,"PROUDHON, BAKOUNINE ET LES RÉACTIONS OUVRIÈRES DES ANNÉES 60",Duveau Georges
5,avril 1937,,LES INITIATEURS,Boudin Max
5,avril 1937,,MÉDITATION SUR L'ANARCHIE,Serge Victor
5,avril 1937,,Documents relatifs à l'anarcho-syndicalisme en Catalogne et en Aragon,Labrousse Roger
5,avril 1937,,NOTE SUR LE FÉDÉRALISME PROUDHONIEN,Simon Yves
5,avril 1937,,ANARCHIE ET AVOIR,Maxime Chastaing
5,avril 1937,,L'ANARCHISTE CONTRE DIEU,Paul-Louis Landsberg
5,avril 1937,,POUR RIEN AU MONDE (ANARCHISME ET CATHOLICISME),Bergamin José
5,avril 1937,,LE DESTIN SPIRITUEL DU MOUVEMENT OUVRIER : ANARCHIE ET PERSONNALISME,Emmanuel Mounier
5,avril 1937,,Commune (mars),
5,avril 1937,,"Les Nouveaux Cahiers (n° 1, 15 mars)",
5,avril 1937,,Les Cahiers du Sud (mars),
5,avril 1937,,Nouvelle Revue française (mars),
5,avril 1937,,Europe (15 février),
5,avril 1937,,Journal des Témoins : GIBOULÉES DE MARS,Madaule Jacques
5,avril 1937,,LES LIVRES. P.-H. SIMON : Discours sur la guerre possible,Serge Victor
6,mai 1937,,SI NOUS SUPPRIMIONS LES GENS DE LETTRES,Carette Louis
6,mai 1937,,LA STALINOCRATIE,Fédotov G.
6,mai 1937,,ILLUSTRATIONS : POÈMES SUR STALINE,
6,mai 1937,,"L'ÉCOLE PRIMAIRE, EST-ELLE UNE ÉCOLE POPULAIRE ?",Chatreix Henri
6,mai 1937,,ABISAG ET LE THÉÂTRE DES QUATRE-SAISONS,Pierre-Aimé Touchard
6,mai 1937,,ABISAG,Barbier Pierre
6,mai 1937,,"Acéphale (Religion, sociologie, philosophie) N° 11 Nietzsche et les fascistes. Une réparation. Par G. Bataille. P. Klossowski, A. Masson, J. Rollin, J. Wahl",Paul-Louis Landsberg
6,mai 1937,,A NOUS LA LIBERTÉ,
6,mai 1937,,La Revue hebdomadaire (20 mars 1937),
6,mai 1937,,Le Banquet (n° 3),
6,mai 1937,,Études (5 et 20 février 1937),
6,mai 1937,,Europe (15 mars),
6,mai 1937,,Sciences politiques,
6,mai 1937,,LUMINAR ? REVISTA DE ORIENTACION DINAMICA,
6,mai 1937,,"NOSOTROS (Buenos-Ayres, Nos 10, 11, 1937)",
6,mai 1937,,LE PERSONNALISME DANS LES REVUES. 30 ans,
6,mai 1937,,Notre Temps,
6,mai 1937,,Tunis-socialiste,
6,mai 1937,,La Revue hebdomadaire,
6,mai 1937,,Les Cahiers franco-allemands (mars),
6,mai 1937,,L'Europe Nouvelle (6 mars),
6,mai 1937,,Combat (mars),
6,mai 1937,,Christliche Standestaat (Vienne) (14 mars 1937),
6,mai 1937,,Cahiers protestants (mars),
6,mai 1937,,L'Homme réel (février 1937),
6,mai 1937,,Europe,Emmanuel Mounier
6,mai 1937,,"LA PENSÉE ENGAGÉE. Jean LACROIX, Itinéraire spirituel",Emmanuel Mounier
6,mai 1937,,"LA PENSÉE ENGAGÉE : CHRÉTIENS ET COMMUNISTES DIVERS : Le communisme et les chrétiens. Robert HONNERT, Communisme et catholicisme. Encyclique divini redemptoris",Emmanuel Mounier
6,mai 1937,,LES LETTRES : Retour de Nietzsche,Rougemont Denis (de)
6,mai 1937,,LES ARTS : Aux Mathurins Le voyageur sans bagages par Jean ANOUILH,
6,mai 1937,,LES ARTS : A la Comédie des Champs Élysées. Amour sans provision,
6,mai 1937,,LES ARTS : Au Théâtre Montparnasse. Les Ratés de LENORMAND,Pierre-Aimé Touchard
6,mai 1937,,LES ARTS : L'ENNEMIE,
6,mai 1937,,LES ARTS : Le Cinéma,V. B.
6,mai 1937,,LES ARTS : LE CHEMIN DE LA GLOIRE (Road to Glory),
6,mai 1937,,LES ARTS : WINTERSET,Valdo Bernard
6,mai 1937,,LES ARTS : DIVERS,Valdo Bernard
6,mai 1937,,LA CITÉ : Journal des Témoins. CHRONIQUE POLITIQUE,Leenhardt Roger
6,mai 1937,,LA CITÉ : GUERNICA,Emmanuel Mounier
6,mai 1937,,LA CITÉ : CHRONIQUE SYNDICALE,Gal Roger
6,mai 1937,,LA CITÉ : Les livres COLLECTION ESPRIT A. VINCENT. Vers une médecine humaine,Barthe René
6,mai 1937,,LA CITÉ : P.-H. SIMON: Discours sur la guerre possible,Madaule Jacques
6,mai 1937,,"LA CITÉ : Chronique internationale. L'ÉLECTION DU 11 AVRIL, A BRUXELLES",Piron R.
6,mai 1937,,"LA CITÉ : Chronique interraciale. LA TUNISIE A LA FIÈVRE ? OUI, D'UN MAL BLANC",Emmanuel Mounier
6,mai 1937,,LA CITÉ : DANS L'INDE. LE CONGRÈS NATIONAL ET LA NOUVELLE CONSTITUTION,Morin Louise
7,juin 1937,,LA GRANDE PITIÉ DE LA CRITIQUE MUSICALE FRANÇAISE,Schloezer Boris (de)
7,juin 1937,,JOURNAL D'UN INTELLECTUEL EN CHOMAGE (FRAGMENTS),Rougemont Denis (de)
7,juin 1937,,QUI SÈME LE VENT...,Semprun  Y  Gurrea José M. (de)
7,juin 1937,,LA PHILOSOPHIE ET LA VIE,Gandillac Maurice (de)
7,juin 1937,,PAYSAGE DE LA CONSCIENCE,Jean Gosset
7,juin 1937,,ABISAG,Barbier Pierre
7,juin 1937,,GUERNICA OU LA TECHNIQUE DU MENSONGE,
7,juin 1937,,La Vérité aux Français (avril),
7,juin 1937,,Combat,Maulnier Thierry
7,juin 1937,,Nouvelle revue française (1er mai),
7,juin 1937,,Dossiers de l'Action populaire (10 et 25 févr.),Montserrat Victor
7,juin 1937,,Vie Intellectuelle : (10 mai),
7,juin 1937,,Vie Intellectuelle (25 avril),Perroux François
7,juin 1937,,Nouveaux Cahiers,Parain Brice
7,juin 1937,,Le Crapouillot (mai),
7,juin 1937,,Commune (mai),
7,juin 1937,,Études Carmélitaines,
7,juin 1937,,L'Essor (Genève),
7,juin 1937,,Europe (15 mai),
7,juin 1937,,"REVISTA FUNDATILORE REGALE (Bucarest), Sur (Buenos-Ayres)",
7,juin 1937,,LES LETTRES. Marias RICHARD : Le Procès,
7,juin 1937,,LES LETTRES. Paul ELUARD: L'évidence poétique,Rougemont Denis (de)
7,juin 1937,,LES LETTRES. Jacques Debu-Bridel. ? LES SECONDES NOCES,Pierre-Aimé Touchard
7,juin 1937,,LES ARTS : Numance d'après CERVANTÈS au Théâtre Antoine,
7,juin 1937,,Le mari singulier de Luc DURTAIN à l'Odéon,
7,juin 1937,,Electre de GIRAUDOUX à l'Athénée,Pierre-Aimé Touchard
7,juin 1937,,L'HOMME SECRET,Pierre-Aimé Touchard
7,juin 1937,,"LE DERNIER PRÊTRE, aux Capucines",
7,juin 1937,,"BOUBOUROCHE, a la Comédie Française",
7,juin 1937,,"ATLAS HOTEL, A l'Atelier",
7,juin 1937,,Le Cinéma : TROIS FILMS,Valdo Bernard
7,juin 1937,,LES PERLES DE LA COURONNE,Valdo Bernard
7,juin 1937,,LA CITÉ. Journal des Témoins : CHRONIQUE POLITIQUE,Madaule Jacques
7,juin 1937,,LA CITÉ. Chronique internationale : ESPAGNE VICTORIEUSE DE SOI,Bergamin José
7,juin 1937,,"LA CITÉ : Les livres Édouard julia L'Etat, ce néant",Labrousse Roger
7,juin 1937,,LA CITÉ. G. LEFEBVRE : Les thermidoriens,Labrousse Roger
7,juin 1937,,LA CITÉ. Magdeleine Paz : FEMMES A VENDRE,D. G.
7,juin 1937,,LA CITÉ. Édouard DoLLEANS. ? VICTOIRE DES OBSCURS,Pierre-Aimé Touchard
7,juin 1937,,LA CITÉ. Léon Blum : SOUVENIRS SUR L'AFFAIRE,M. M.
7,juin 1937,,NOTRE ACTION,Sandahl Pierre
7,juin 1937,,II. ? LE CONGRÈS ESPRIT,
8,juillet 1937,,LE TEMPS DU MÉPRIS,Pierre-Aimé Touchard
8,juillet 1937,,RÉFORMISME OU RÉFORMES DE STRUCTURE ?,Emmanuel Mounier
8,juillet 1937,,RÉVOLUTION ET RÉFORMISME,Leibrich Louis
8,juillet 1937,,"LE CENTENAIRE DU DISCOURS DESCARTES, INTRODUCTEUR A LA VIE PERSONNELLE",Maxime Chastaing
8,juillet 1937,,"LE BLÉ, LA FARINE, LE PAIN DONNÉES TECHNIQUES, PROBLÈME HUMAIN",Heid Paul
8,juillet 1937,,ABISAG (fin). 5 actes d'après le roman d'Alexandre ARNOUX,Barbier Pierre
8,juillet 1937,,MÉMOIRE SUR LA SITUATION DES CATHOLIQUES DANS LE TROISIÈME REICH par un groupe de catholiques allemands,
8,juillet 1937,,Mesures (15 avril),
8,juillet 1937,,Bulletin de l'Union pour la vérité (fév.-mars),
8,juillet 1937,,Arts et Idées (8 et 9),
8,juillet 1937,,Nouvelle Revue française (juin),
8,juillet 1937,,Revue Thomiste,
8,juillet 1937,,Revue de Paris,
8,juillet 1937,,Commune (juin),
8,juillet 1937,,L'Ordre Nouveau (juin),
8,juillet 1937,,Regains (n° 18),
8,juillet 1937,,Christianisme social (avril-mai),
8,juillet 1937,,La Vie Intellectuelle (10 juin),
8,juillet 1937,,Librairie,
8,juillet 1937,,La JUSTE PAROLE,
8,juillet 1937,,La Conscience des Juifs,
8,juillet 1937,,Nouveaux cahiers (1er juin 1937),
8,juillet 1937,,Politique (mai 1937),
8,juillet 1937,,"Revue de métaphysique, n° Descartes, et Archives de Philosophie Volume XIII",
8,juillet 1937,,Sciences Politiques (mai 1937),
8,juillet 1937,,Lectures prolétariennes,
8,juillet 1937,,Dossiers de l'Action populaire (10 juin),
8,juillet 1937,,Combat (juin),
8,juillet 1937,,La Liberté,
8,juillet 1937,,Le Chef-d'oeuvre,
8,juillet 1937,,"LA PENSÉE ENGAGÉE : M. Benda nous « cherche », mais ne nous trouve pas",
8,juillet 1937,,LA PENSÉE ENGAGÉE. Armand Petitjean : IMAGINATION ET RÉALISATION,
8,juillet 1937,,"LA PENSÉE ENGAGÉE. Carlos Astrada : IDEALISMO FENOMENOLOGICO Y METAFISICA EXISTENCIAL (Buenos-Aires, Universidad)",C. M.
8,juillet 1937,,LES LETTRES. Ernst GLAESER : Le dernier civil,Duveau Georges
8,juillet 1937,,LES LETTRES. François MAURIAC : Journal (II),Secrétain Roger
8,juillet 1937,,LES ARTS. Maurice JAUBERT : Jeanne d'Arc. THÉÂTRE DES CHAMPS-ELYSÉES,Davenson Henri
8,juillet 1937,,LES ARTS. Le Théâtre : LE THÉÂTRE DES « QUATRE-SAISONS »,
